year,candidatures,labels,preLabels,sessions,positive,label_rate,positive_share_descriptive
2019,334,186,58,10,244,55.68862275449101,73.05389221556886
2020,438,209,108,12,317,47.71689497716895,72.37442922374429
2021,583,245,106,12,351,42.02401372212693,60.20583190394511
2022,484,174,90,12,264,35.9504132231405,54.54545454545454
2023,469,161,80,12,241,34.32835820895522,51.38592750533049
2024,428,144,74,12,218,33.64485981308411,50.93457943925234
2025,492,149,90,12,239,30.284552845528455,48.57723577235772
2026,120,43,17,3,60,35.83333333333333,50
