session,candidatures,labels,preLabels,taux,tauxExact,echec,echecExact,commentaires,month_num,year,taux_num,positive,label_rate_recomputed,positive_share_descriptive,rate_gap,retraits
10/2022,45,14,7,31.1,31.11111111111111,68.9,68.9,,10,2022,31.1,21,31.11111111111111,46.666666666666664,0,1
11/2022,42,17,10,40.5,40.476190476190474,59.5,59.5,,11,2022,40.5,27,40.476190476190474,64.28571428571429,0,0
12/2022,39,16,5,41.0,41.02564102564102,59.0,59.00000000000001,,12,2022,41.0,21,41.02564102564102,53.84615384615385,0,0
01/2023,38,16,6,42.1,42.10526315789473,57.9,57.9,,1,2023,42.1,22,42.10526315789473,57.89473684210527,0,2
02/2023,42,18,11,42.9,42.857142857142854,57.1,57.099999999999994,,2,2023,42.9,29,42.857142857142854,69.04761904761905,0,1
03/2023,42,14,6,33.3,33.33333333333333,66.7,66.7,,3,2023,33.3,20,33.33333333333333,47.61904761904761,0,0
04/2023,40,13,5,32.5,32.5,67.5,67.5,,4,2023,32.5,18,32.5,45.0,0,0
05/2023,45,19,9,42.2,42.22222222222222,57.8,57.8,,5,2023,42.2,28,42.22222222222222,62.22222222222222,0,0
06/2023,34,10,8,29.4,29.411764705882355,70.6,70.6,,6,2023,29.4,18,29.411764705882355,52.94117647058824,0,0
07/2023,42,15,8,35.7,35.714285714285715,64.3,64.3,,7,2023,35.7,23,35.714285714285715,54.761904761904766,0,2
08/2023,33,11,5,33.3,33.33333333333333,66.7,66.7,,8,2023,33.3,16,33.33333333333333,48.484848484848484,0,0
09/2023,41,15,6,36.6,36.58536585365854,63.4,63.4,,9,2023,36.6,21,36.58536585365854,51.21951219512195,0,1
10/2023,31,6,4,19.4,19.35483870967742,80.6,80.60000000000001,,10,2023,19.4,10,19.35483870967742,32.25806451612903,0,3
11/2023,38,12,7,31.6,31.57894736842105,68.4,68.39999999999999,,11,2023,31.6,19,31.57894736842105,50.0,0,6
12/2023,43,12,5,27.9,27.906976744186046,72.1,72.10000000000001,,12,2023,27.9,17,27.906976744186046,39.53488372093023,0,0
01/2024,36,14,6,38.9,38.88888888888889,61.1,61.1,,1,2024,38.9,20,38.88888888888889,55.55555555555556,0,3
02/2024,33,9,6,27.3,27.27272727272727,72.7,72.7,,2,2024,27.3,15,27.27272727272727,45.45454545454545,0,3
03/2024,34,6,7,17.6,17.647058823529413,82.4,82.39999999999999,,3,2024,17.6,13,17.647058823529413,38.23529411764706,0,3
04/2024,42,14,5,33.3,33.33333333333333,66.7,66.7,,4,2024,33.3,19,33.33333333333333,45.23809523809524,0,2
05/2024,0,14,5,0,0,100,0,,5,2024,0,19,0,0,0,2
06/2024,40,14,5,35.0,35.0,65.0,65.0,,6,2024,35.0,19,35.0,47.5,0,2
07/2024,34,6,7,17.6,17.647058823529413,82.4,82.39999999999999,,7,2024,17.6,13,17.647058823529413,38.23529411764706,0,3
08/2024,39,11,6,28.2,28.205128205128204,71.8,71.8,,8,2024,28.2,17,28.205128205128204,43.58974358974359,0,1
09/2024,39,11,9,28.2,28.205128205128204,71.8,71.8,,9,2024,28.2,20,28.205128205128204,51.28205128205128,0,1
10/2024,49,15,7,30.6,30.612244897959183,69.4,69.39999999999999,,10,2024,30.6,22,30.612244897959183,44.89795918367347,0,3
11/2024,43,14,7,32.6,32.55813953488372,67.4,67.39999999999999,,11,2024,32.6,21,32.55813953488372,48.837209302325576,0,2
12/2024,39,16,4,41.0,41.02564102564102,59.0,59.00000000000001,,12,2024,41.0,20,41.02564102564102,51.28205128205128,0,1
01/2025,44,13,2,29.5,29.545454545454547,70.5,70.5,,1,2025,29.5,15,29.545454545454547,34.090909090909086,0,2
02/2025,45,13,9,28.9,28.888888888888886,71.1,71.10000000000001,,2,2025,28.9,22,28.888888888888886,48.888888888888886,0,4
03/2025,21,6,5,28.6,28.57142857142857,71.4,71.39999999999999,,3,2025,28.6,11,28.57142857142857,52.38095238095239,0,1
04/2025,27,13,5,48.1,48.148148148148145,51.9,51.89999999999999,,4,2025,48.1,18,48.148148148148145,66.66666666666666,0,7
05/2025,50,13,13,26.0,26.0,74.0,74.0,,5,2025,26.0,26,26.0,52.0,0,1
06/2025,41,12,8,29.3,29.268292682926827,70.7,70.7,,6,2025,29.3,20,29.268292682926827,48.78048780487805,0,1
07/2025,34,9,8,26.5,26.47058823529412,73.5,73.5,,7,2025,26.5,17,26.47058823529412,50.0,0,6
08/2025,50,15,9,30.0,30.0,70.0,70.0,,8,2025,30.0,24,30.0,48.0,0,4
09/2025,31,7,10,22.6,22.58064516129032,77.4,77.4,,9,2025,22.6,17,22.58064516129032,54.83870967741935,0,4
10/2025,51,17,12,33.3,33.33333333333333,66.7,66.7,,10,2025,33.3,29,33.33333333333333,56.86274509803921,0,3
11/2025,47,15,3,31.9,31.914893617021278,68.1,68.10000000000001,,11,2025,31.9,18,31.914893617021278,38.297872340425535,0,2
12/2025,51,16,6,31.4,31.372549019607842,68.6,68.6,,12,2025,31.4,22,31.372549019607842,43.13725490196079,0,5
01/2026,37,10,7,27.0,27.027027027027028,73.0,73.0,,1,2026,27.0,17,27.027027027027028,45.94594594594595,0,5
02/2026,39,20,3,51.3,51.28205128205128,48.7,48.699999999999996,,2,2026,51.3,23,51.28205128205128,58.97435897435898,0,2
03/2026,44,13,7,29.5,29.545454545454547,70.5,70.5,,3,2026,29.5,20,29.545454545454547,45.45454545454545,0,6
