session_id;session;candidatures;entries;labels;preLabels;conversions;retraits;reportes;newLabels;tauxPct;candidatures_definition;candidatures_officielles;candidatures_pdf_calculees;ecart_candidatures_pdf_officiel;formule_candidatures_pdf
;01/2024;33;36;14;6;6;3;0;8;42.42;;33;27;-6;lignes_pdf - conversions - retraits - reportes
;02/2024;33;33;9;6;0;3;0;9;27.27;;33;30;-3;lignes_pdf - conversions - retraits - reportes
;03/2024;31;34;7;7;4;3;0;3;22.58;;31;27;-4;lignes_pdf - conversions - retraits - reportes
;04/2024;39;42;14;5;5;2;0;9;35.9;;39;35;-4;lignes_pdf - conversions - retraits - reportes
;05/2024;39;46;14;5;0;2;0;14;35.9;;39;39;0;lignes_pdf - conversions - retraits - reportes
;06/2024;37;40;14;5;3;2;0;11;37.84;;37;35;-2;lignes_pdf - conversions - retraits - reportes
;07/2024;33;34;5;7;2;3;0;3;15.15;;33;29;-4;lignes_pdf - conversions - retraits - reportes
;08/2024;37;39;11;6;5;1;0;6;29.73;;37;33;-4;lignes_pdf - conversions - retraits - reportes
;09/2024;34;39;11;9;5;1;0;6;32.35;;34;33;-1;lignes_pdf - conversions - retraits - reportes
;10/2024;43;49;15;7;6;3;1;9;34.88;;43;39;-4;lignes_pdf - conversions - retraits - reportes
;11/2024;41;43;14;7;2;2;0;12;34.15;;41;39;-2;lignes_pdf - conversions - retraits - reportes
;12/2024;40;39;16;4;0;1;0;16;40.0;;40;38;-2;lignes_pdf - conversions - retraits - reportes
;01/2025;39;44;18;2;5;2;0;13;46.15;;39;37;-2;lignes_pdf - conversions - retraits - reportes
;02/2025;41;45;13;9;4;4;0;9;31.71;;41;37;-4;lignes_pdf - conversions - retraits - reportes
;03/2025;21;21;6;5;0;1;0;6;28.57;;21;20;-1;lignes_pdf - conversions - retraits - reportes
;04/2025;21;27;13;5;8;7;0;5;61.9;;21;12;-9;lignes_pdf - conversions - retraits - reportes
;05/2025;47;50;13;10;3;1;0;10;27.66;;47;46;-1;lignes_pdf - conversions - retraits - reportes
;06/2025;36;41;12;8;5;1;0;7;33.33;;36;35;-1;lignes_pdf - conversions - retraits - reportes
;07/2025;29;34;9;8;5;6;0;4;31.03;;29;23;-6;lignes_pdf - conversions - retraits - reportes
;08/2025;41;50;15;9;9;4;0;6;36.59;;41;37;-4;lignes_pdf - conversions - retraits - reportes
;09/2025;25;31;7;10;6;4;0;1;28.0;;25;21;-4;lignes_pdf - conversions - retraits - reportes
;10/2025;41;51;17;12;10;3;0;7;41.46;;41;38;-3;lignes_pdf - conversions - retraits - reportes
;11/2025;39;47;15;3;8;2;0;7;38.46;;39;37;-2;lignes_pdf - conversions - retraits - reportes
;12/2025;41;51;15;6;10;5;0;5;36.59;;41;36;-5;lignes_pdf - conversions - retraits - reportes
;01/2026;31;37;9;7;7;5;0;2;29.03;;31;25;-6;lignes_pdf - conversions - retraits - reportes
;02/2026;36;39;21;3;3;2;0;18;58.33;;36;34;-2;lignes_pdf - conversions - retraits - reportes
;03/2026;41;44;13;7;3;6;0;10;31.71;;41;35;-6;lignes_pdf - conversions - retraits - reportes
;04/2026;41;47;12;5;4;5;0;8;29.27;;41;38;-3;lignes_pdf - conversions - retraits - reportes
;05/2026;40;42;13;10;5;3;0;8;32.5;;40;34;-6;lignes_pdf - conversions - retraits - reportes
;06/2026;40;45;7;9;4;3;0;3;17.5;;40;38;-2;lignes_pdf - conversions - retraits - reportes
