startup_id,founder_id,session,societe,fondateur
C0059,F0103,04/2019,Testafid+,Mohamed Ghmadh
C0060,F0104,04/2019,Afrique Charbon,Abdelaziz Bahri
C0061,F0105,04/2019,Ironhoster,Naiim Lamloumi
C0062,F0106,04/2019,Boostiny,Tarak Nachnouchi
C0063,F0107,04/2019,Forevermo (Paravoisin),Mohamed Methnani
C0064,F0108,04/2019,Supply Air,Aymen Tleilia
C0064,F0109,04/2019,Supply Air,Hatem Lefi
C0065,F0110,04/2019,Sawsan Bellaj Training & Consulting,Sawssen Bellaj
C0066,F0111,04/2019,Casual Bet,Walid Balti
C0066,F0112,04/2019,Casual Bet,Abderahmen Mahmoudi
C0067,F0113,05/2019,TakiAcademy,Takieddine Ben Messaoud
C0068,F0114,05/2019,Deli Solutions,Sami Tounsi
C0068,F0115,05/2019,Deli Solutions,Zied Ouerdani
C0069,F0116,05/2019,NewGen,Seifeddine Ben Hamouda
C0070,F0117,05/2019,InstaDeep,Zohra Slim
C0070,F0118,05/2019,InstaDeep,Karim Beguir
C0071,F0119,05/2019,Lifeye,Ahmed Ben Achballah
C0071,F0120,05/2019,Lifeye,Bassem Boujelben
C0071,F0121,05/2019,Lifeye,Zied Chabchoub
C0071,F0122,05/2019,Lifeye,Tarek Blaiech
C0071,F0123,05/2019,Lifeye,Mohamed Kallel
C0071,F0124,05/2019,Lifeye,Achraf Chabbouh
C0071,F0125,05/2019,Lifeye,Ahmed Ben Said
C0071,F0126,05/2019,Lifeye,Rateb Jabbar
C0072,F0127,05/2019,Echo,Amine Laaroussi
C0073,F0128,05/2019,Seemba Gaming,Slim Ben Nasrsallah
C0073,F0129,05/2019,Seemba Gaming,Jacer Omri
C0073,F0130,05/2019,Seemba Gaming,Mohamed Ben Hadj Aissa
C0073,F0131,05/2019,Seemba Gaming,Jihed Bibani
C0073,F0132,05/2019,Seemba Gaming,Ben Messaoud TakiEddine
C0074,F0133,05/2019,WeCode Land,Wala Kasmi
C0074,F0134,05/2019,WeCode Land,Mohamed Ali Boumiza
C0075,F0135,05/2019,Smart Med SA,Issam Bellaj
C0075,F0136,05/2019,Smart Med SA,Aymen Turki
C0075,F0137,05/2019,Smart Med SA,Emna Jellouli
C0076,F0138,05/2019,Société STBI,Sofiene Horrigue
C0077,F0139,05/2019,Actifs Précieux Apex S.A,Hajer Derouiche
C0077,F0140,05/2019,Actifs Précieux Apex S.A,Hedi Derouiche
C0078,F0141,05/2019,Neopolis Development,Achraf Khelil
C0078,F0142,05/2019,Neopolis Development,Jacques-Yves Foucou
C0079,F0143,05/2019,9arini.tn (édité par Digital World SARL),Kais Assali
C0079,F0144,05/2019,9arini.tn (édité par Digital World SARL),Anis Wahabi
C0080,F0145,05/2019,Fouta Tunisia,Beldi Zied
C0081,F0146,05/2019,Swiver,Hichem Radoine
C0081,F0147,05/2019,Swiver,Azzam Souelmia
C0082,F0148,05/2019,profils.tn,Anis Maghar
C0082,F0149,05/2019,profils.tn,Imen Maghar
C0083,F0150,05/2019,Go Up Stand Up (Goupsup),Hazem Guent
C0083,F0151,05/2019,Go Up Stand Up (Goupsup),Yassine Dimassi
C0084,F0152,05/2019,TransFacile,Oussema Marai
C0084,F0153,05/2019,TransFacile,Ghada Chelly
C0085,F0154,05/2019,Asklepios,Marwen Badri
C0085,F0155,05/2019,Asklepios,Youssef El Behi
C0086,F0156,05/2019,Bookingtodo,Aziz Annabi
C0087,F0157,05/2019,Industry X.0,Bilel Labidi
C0087,F0158,05/2019,Industry X.0,Med Abdel Aziz Battikh
C0088,F0159,05/2019,Bon'Heure,Nour Tekaya
C0088,F0160,05/2019,Bon'Heure,Iskander Gafsi
C0089,F0161,05/2019,Be bouncy,Ayoub Ben younes
C0089,F0162,05/2019,Be bouncy,Sophie Alexandra Aiachi
C0090,F0163,05/2019,Domotec,Hichem Moalla
C0090,F0164,05/2019,Domotec,Yahia Moalla
C0091,F0165,05/2019,Vim It,Imen Issaoui
C0092,F0166,05/2019,Indigo Business Solutions,Mohamed Aloulou
C0093,F0167,05/2019,Professional System,Hichem Ben Hammouda
C0094,F0168,05/2019,Beego,Mohamed Amine Sammari
C0095,F0169,05/2019,B'rain,Rami Boudaya
C0096,F0170,05/2019,"Développement d'applications comptables, gestion, finance",Mehdi Mabrouk
C0097,F0171,06/2019,DEEPERA,Faouzi Moussa
C0097,F0172,06/2019,DEEPERA,Mustapha Boughzou
C0098,F0173,06/2019,FABSKILL,Sofiane Mabrouk
C0098,F0174,06/2019,FABSKILL,Bechir Afifi
C0098,F0175,06/2019,FABSKILL,Mohamed Ben Sfar
C0099,F0176,06/2019,MajestEYE,Jihed Hannachi
C0099,F0177,06/2019,MajestEYE,Rabie Saidi
C0099,F0178,06/2019,MajestEYE,Soufien Ben Hamza
C0100,F0179,06/2019,HERUNDO,Nizar Bouguila
C0100,F0180,06/2019,HERUNDO,Bessem Jallouli
C0100,F0181,06/2019,HERUNDO,Mohamed Boujelban
C0101,F0182,06/2019,BioIntrants Technologie,Yassine Ben Menadi
C0101,F0183,06/2019,BioIntrants Technologie,Chedli Ben Menadi
C0102,F0184,06/2019,JUNIOR NETWORK,Sahar Ben Rached
C0102,F0185,06/2019,JUNIOR NETWORK,Zeineb Chabchoub
C0102,F0186,06/2019,JUNIOR NETWORK,Oussema Ksontini
C0103,F0187,06/2019,Siteflow Factory,Samed Jalouali
C0103,F0188,06/2019,Siteflow Factory,Timothée Piette
C0103,F0189,06/2019,Siteflow Factory,Etienne Barrault
C0103,F0190,06/2019,Siteflow Factory,Louis Hauvette
C0104,F0191,06/2019,Insight+,Adel Jenni
C0104,F0192,06/2019,Insight+,Imed Kouki
C0105,F0193,06/2019,DATAERA,Hedi Zouari
C0105,F0194,06/2019,DATAERA,Maher Heni
C0106,F0195,06/2019,SF Technologies,Mohamed Taher Hammami
C0107,F0196,06/2019,CREATIVE CULINARY,Aziz Ben Chedli
C0108,F0197,06/2019,SAFOZI SARL,Zied Ouled Ali
C0109,F0198,06/2019,NEXTPROTEIN TUNISIA,Mohamed Gastli
C0109,F0199,06/2019,NEXTPROTEIN TUNISIA,Syrine Chaalala
C0110,F0200,06/2019,SENIATNA,Neil Boussofara
C0111,F0201,06/2019,VME Internationale,Foued Ben Babis
C0111,F0202,06/2019,VME Internationale,Montassar Gharsa
C0112,F0203,06/2019,Zoor,Mahdi Houli
C0112,F0204,06/2019,Zoor,Radhi Houli
C0113,F0205,06/2019,Natalista,Rim Besbes
C0114,F0206,06/2019,Videsys,Abdelaziz Ktari
C0114,F0207,06/2019,Videsys,Walid Messaoudia
C0115,F0208,06/2019,AYSHEK,Amine Dimassi
C0115,F0209,06/2019,AYSHEK,Mohamed Amine Baatout
C0116,F0210,06/2019,Kidsbook,Mohamed Nadhir Belkhir
C0116,F0211,06/2019,Kidsbook,Hafedh Dziri
C0117,F0212,06/2019,Hezni Maak,Youssef Meksi
C0118,F0213,06/2019,Pool & Fish Farm Smart Water Management,Afef Bohli
C0118,F0214,06/2019,Pool & Fish Farm Smart Water Management,Sami Tabbane
C0119,F0215,06/2019,Massart Engineering,Mahdi Ghribi
C0120,F0216,06/2019,MyCity,Mohamed Sami Rahoui
C0121,F0133,06/2019,Tisopia,Wala Kasmi
C0121,F0217,06/2019,Tisopia,Mohamed Boumiza
C0122,F0218,06/2019,TUNMOB SA (DIGIT-U),Houssine Midouni
C0123,F0219,06/2019,SMAAO Tunisie,Amjed Ben Salah
C0124,F0220,06/2019,Iris technologies,Khaled Bouchoucha
C0125,F0221,06/2019,Agri Land,Saifeddine Kacem
C0125,F0222,06/2019,Agri Land,AyetAllah Hlaiem
C0126,F0223,06/2019,Doctor Sina,Laaroussi Ben Younes
C0127,F0224,06/2019,Aevny,Nacir Bouazizi
C0127,F0225,06/2019,Aevny,Ahmed Ben Marzoug
C0128,F0226,06/2019,IYADATI,Cheker Jarray
C0129,F0227,07/2019,TransIN / SmartIN,Wahid Mnasri
C0130,F0228,07/2019,Catrim,Mohamed Amine Ghorbel
C0130,F0229,07/2019,Catrim,Becem Ben Mustapha
C0131,F0230,07/2019,eDonec,Nader Zouari
C0131,F0231,07/2019,eDonec,Zakaria Hatira
C0132,F0232,07/2019,Avempace,Haythem Boughzala
C0132,F0233,07/2019,Avempace,Abdelhamid Kerkeni
C0133,F0234,07/2019,NIWEES,Abdallah Najah
C0134,F0235,07/2019,Arsela,Ines Hafi
C0134,F0236,07/2019,Arsela,Achref Ben Ouannes
C0134,F0237,07/2019,Arsela,Ahmed Ben Zineb
C0135,F0238,07/2019,Coaching Foot,Ahmed Adala
C0135,F0239,07/2019,Coaching Foot,Kheireddine Fradj
C0135,F0240,07/2019,Coaching Foot,Hussein Jenayah
C0136,F0241,07/2019,AROM R SARL,Ellyes Chakroun
C0137,F0242,07/2019,Rahba.tn,Mahmoud Aboulrob
C0138,F0243,07/2019,DeVolution studio,Hidayet Ayadi
C0138,F0244,07/2019,DeVolution studio,Seifeddine Ben Achour
C0138,F0245,07/2019,DeVolution studio,Oualid Khayatti
C0138,F0246,07/2019,DeVolution studio,Oussema Maatouk
C0139,F0247,07/2019,ASEPTIKA LAB,Selima Zaouali
C0139,F0248,07/2019,ASEPTIKA LAB,Aziz Zaouali
C0140,F0249,07/2019,Faavly,Mohamed Amine Grichi
C0141,F0250,07/2019,Universa Blockchain,Omar Bouattay
C0141,F0251,07/2019,Universa Blockchain,Alexandre Borodich
C0142,F0252,07/2019,Surfin - powered by Incept,Sofiene Chaieb
C0143,F0253,07/2019,TuniBoat,Ahmed Ayadi
C0144,F0254,07/2019,Winshot,Walid Mzoughi
C0144,F0255,07/2019,Winshot,Hela Gabsi
C0144,F0256,07/2019,Winshot,Alaa Mokrani
C0145,F0257,07/2019,Technologia Academy,Mohamed Amine Hlali
C0146,F0258,07/2019,Minima.ai,Houssem eddine Mrad
C0147,F0259,07/2019,Réseau social medical : Saheelha,Marwan Abidi
