session_id;session;count;company;founders;decision;source;note
S0;03/2019;2;Entreprise non identifiée;Non identifiés;Ajourné hors PDF;Commentaire officiel Startup Tunisia — 03/2019;"Deux ajournés mentionnés ; noms non publiés dans les éléments disponibles."
S3;06/2019;1;Entreprise non identifiée;Non identifiés;Ajourné hors PDF;Commentaire officiel Startup Tunisia — 06/2019;"Un ajourné mentionné ; nom non publié dans les éléments disponibles."
