decision_id;company_name;founder_name;session
S1_D0049;Forevermo (Paravoisin);Mohamed Methnani;04/2019
S1_D0050;Supply Air;Aymen Tleilia;04/2019
S1_D0050;Supply Air;Hatem Lefi;04/2019
S1_D0051;Sawsan Bellaj Training & Consulting;Sawssen Bellaj;04/2019
S1_D0052;Casual Bet;Walid Balti;04/2019
S1_D0052;Casual Bet;Abderahmen Mahmoudi;04/2019
S2_D0001;TakiAcademy;Takieddine Ben Messaoud;05/2019
S2_D0002;Deli Solutions;Sami Tounsi;05/2019
S2_D0002;Deli Solutions;Zied Ouerdani;05/2019
S2_D0003;NewGen;Seifeddine Ben Hamouda;05/2019
S2_D0004;InstaDeep;Zohra Slim;05/2019
S2_D0004;InstaDeep;Karim Beguir;05/2019
S2_D0005;Lifeye;Ahmed Ben Achballah;05/2019
S2_D0005;Lifeye;Bassem Boujelben;05/2019
S2_D0005;Lifeye;Zied Chabchoub;05/2019
S2_D0005;Lifeye;Tarek Blaiech;05/2019
S2_D0005;Lifeye;Mohamed Kallel;05/2019
S2_D0005;Lifeye;Achraf Chabbouh;05/2019
S2_D0005;Lifeye;Ahmed Ben Said;05/2019
S2_D0005;Lifeye;Rateb Jabbar;05/2019
S2_D0006;Echo;Amine Laaroussi;05/2019
S2_D0007;Seemba Gaming;Slim Ben Nasrsallah;05/2019
S2_D0007;Seemba Gaming;Jacer Omri;05/2019
S2_D0007;Seemba Gaming;Mohamed Ben Hadj Aissa;05/2019
S2_D0007;Seemba Gaming;Jihed Bibani;05/2019
S2_D0007;Seemba Gaming;Ben Messaoud TakiEddine;05/2019
S2_D0008;WeCode Land;Wala Kasmi;05/2019
S2_D0008;WeCode Land;Mohamed Ali Boumiza;05/2019
S2_D0009;Smart Med SA;Issam Bellaj;05/2019
S2_D0009;Smart Med SA;Aymen Turki;05/2019
S2_D0009;Smart Med SA;Emna Jellouli;05/2019
S2_D0010;Société STBI;Sofiene Horrigue;05/2019
S2_D0011;Actifs Précieux Apex S.A;Hajer Derouiche;05/2019
S2_D0011;Actifs Précieux Apex S.A;Hedi Derouiche;05/2019
S2_D0012;Neopolis Development;Achraf Khelil;05/2019
S2_D0012;Neopolis Development;Jacques-Yves Foucou;05/2019
S2_D0013;9arini.tn (édité par Digital World SARL);Kais Assali;05/2019
S2_D0013;9arini.tn (édité par Digital World SARL);Anis Wahabi;05/2019
S2_D0014;Fouta Tunisia;Beldi Zied;05/2019
S2_D0015;Swiver;Hichem Radoine;05/2019
S2_D0015;Swiver;Azzam Souelmia;05/2019
S2_D0016;profils.tn;Anis Maghar;05/2019
