session;societe;secteur;decision;source;flags
08/2020;DIDA MIND;Iot;inconnu;pdf-session;decision_inconnue
08/2020;GST;;inconnu;pdf-session;decision_inconnue
08/2020;Improve Software TN ai diagnosis vision;Agritech;inconnu;pdf-session;decision_inconnue
08/2020;GENI;Agritech;inconnu;pdf-session;"decision_inconnue;fondateurs_ambigus"
08/2020;HAKIM TECHNOLOGIES;;inconnu;pdf-session;decision_inconnue
08/2020;D-WEE;;inconnu;pdf-session;decision_inconnue
08/2020;HOMEJEK;E-Commerce;inconnu;pdf-session;decision_inconnue
08/2020;MTCE;;inconnu;pdf-session;decision_inconnue
08/2020;Angel Protector/ AMZi Smart Solutions;;inconnu;pdf-session;decision_inconnue
08/2020;Lanterns;Gaming;inconnu;pdf-session;decision_inconnue
08/2020;Analytix;Fintech;inconnu;pdf-session;decision_inconnue
08/2020;M&C;;inconnu;pdf-session;decision_inconnue
08/2020;Makerfy;;inconnu;pdf-session;decision_inconnue
08/2020;Lead Youth;;inconnu;pdf-session;decision_inconnue
08/2020;Points Cadeaux;;inconnu;pdf-session;decision_inconnue
08/2020;mintounes;E-Commerce;inconnu;pdf-session;decision_inconnue
08/2020;TAWA;;inconnu;pdf-session;decision_inconnue
08/2020;Drone filaire;;inconnu;pdf-session;decision_inconnue
08/2020;Full Health;;inconnu;pdf-session;decision_inconnue
08/2020;WeRebase;Edtech;inconnu;pdf-session;decision_inconnue
08/2020;Afia Tech;;label_accorde;pdf-session;
08/2020;SPORTOLOGY;;label_accorde;pdf-session;fondateurs_ambigus
08/2020;Société Classquiz;Edtech;label_accorde;pdf-session;
08/2020;Nebulabs;Edtech;label_accorde;pdf-session;fondateurs_ambigus
08/2020;Scaphandry;Edtech;label_accorde;pdf-session;fondateurs_ambigus
08/2020;Digital GROWUP APPLICATIONS « DGA »;;label_accorde;pdf-session;
08/2020;Ste Hope Healthcare Solutions;;label_accorde;pdf-session;
08/2020;THEMAZEGROUP;;label_accorde;pdf-session;fondateurs_ambigus
08/2020;School Upgrader;Edtech;label_accorde;pdf-session;
08/2020;STE Industrial FACTOORYA Tech;Iot;label_accorde;pdf-session;fondateurs_ambigus
08/2021;MSS GROUP;Business;label_accorde;pdf-session;
08/2021;Smart Ecowico Technology;;label_accorde;pdf-session;
08/2021;T Ū NIQ;Social Business;label_accorde;pdf-session;
08/2021;Facstore;Edtech;label_accorde;pdf-session;
08/2021;istishara;Services;prelabel_accorde;pdf-session;
08/2021;Tunisia market;;prelabel_accorde;pdf-session;
08/2021;Hayat Tech;;prelabel_accorde;pdf-session;
08/2021;SkyRanger;Agritech;prelabel_accorde;pdf-session;
08/2021;Food lab belarabi;Foodtech;label_refuse;pdf-session;
08/2021;Softbook;;label_refuse;pdf-session;
08/2021;Bridge Technology;Business;label_refuse;pdf-session;
08/2021;EMISERV;Advanced Manufacturing;label_refuse;pdf-session;fondateurs_ambigus
08/2021;BOOSTENO TUNISIE;Services;label_refuse;pdf-session;
08/2021;Signalétique intelligente / Thor System;;label_refuse;pdf-session;secteur_absent
08/2021;Learnygo;Business;label_refuse;pdf-session;
08/2021;Herbéos;Agritech;label_refuse;pdf-session;
08/2021;Taxiora Pub;Services;prelabel_refuse;pdf-session;
08/2021;The Bridge;Edtech;prelabel_refuse;pdf-session;
08/2021;Talasin;Social Business;prelabel_refuse;pdf-session;
08/2021;Freeman;Social Business;prelabel_refuse;pdf-session;
08/2021;ECOclicko;Edtech;prelabel_refuse;pdf-session;
08/2021;C'mind;;prelabel_refuse;pdf-session;
08/2021;TN Smartbot;;label_refuse;pdf-session;
08/2021;Birou Suite;;inconnu;pdf-session;decision_inconnue
08/2021;Lait Espoir;;label_accorde;pdf-session;
08/2021;SUPREMCLOUD TECHNOLOGIES;;inconnu;pdf-session;"decision_inconnue;fondateurs_ambigus"
08/2021;ASQII;;inconnu;pdf-session;"decision_inconnue;fondateurs_ambigus"
08/2021;JPARTNERS TUNISIE;;inconnu;pdf-session;"decision_inconnue;fondateurs_ambigus"
08/2021;BAKO MOTORS;;inconnu;pdf-session;"decision_inconnue;fondateurs_ambigus"
08/2021;Rebound Dev;;inconnu;pdf-session;"decision_inconnue;fondateurs_ambigus"
08/2021;STE SAMM TEST & AUTOMATION;;inconnu;pdf-session;"decision_inconnue;fondateurs_ambigus"
08/2022;SmarDac;Environment;label_accorde;pdf-session;
08/2022;Miam!;Business;label_accorde;pdf-session;
08/2022;HEROI;Ad Tech And Creative Tech;label_accorde;pdf-session;
08/2022;Slidzo;Foodtech;label_accorde;pdf-session;
08/2022;The Vastlight Platform;Business;label_accorde;pdf-session;
08/2022;Rivezli.tn Elevage des abeilles pour la collecte de leurs venins pour des fins cosmétiques et thérapeutiques;Edtech;label_accorde;pdf-session;
08/2022;Moovin360;Services;prelabel_accorde;pdf-session;
08/2022;Waf Waf House;Consumer Products And Services;prelabel_accorde;pdf-session;
08/2022;Thnity;Mobility;prelabel_accorde;pdf-session;
08/2022;CapsaFood cell pulse;Mobility;prelabel_accorde;pdf-session;
08/2022;Innovega;Agritech;prelabel_accorde;pdf-session;
08/2022;Tabachir Games;Edtech;prelabel_accorde;pdf-session;
08/2022;Caminova Meeda la table connectée destinée à votre usage intérieur et extérieur.;Healthtech;prelabel_accorde;pdf-session;
08/2022;WiseBoard;Fintech;prelabel_accorde;pdf-session;
08/2022;D-carte;Business Software And Services;prelabel_accorde;pdf-session;
08/2022;Mraabila;Social Business;label_refuse;pdf-session;
08/2022;Boosty/Almoshtari;Social Business;label_refuse;pdf-session;
08/2022;Axifraud;Business Software And Services;label_refuse;pdf-session;
08/2022;Hadooc;Business Software And Services;label_refuse;pdf-session;
08/2022;MSS CONSULTING;Business Software And Services;label_refuse;pdf-session;
08/2022;Sciencia;Edtech;retrait;pdf-session;
08/2022;Paypos Tunisie;Fintech;retrait;pdf-session;
08/2023;Scaylab;Business Software And Services;label_accorde;pdf-session;
08/2023;SD Academy;Edtech;label_accorde;pdf-session;
08/2023;Deep Camp;Edtech;label_accorde;pdf-session;
08/2023;clik2read/MIPLIVREL;;label_accorde;pdf-session;secteur_absent
08/2023;sellya.net;Commerce And Shopping;prelabel_accorde;pdf-session;
08/2023;Verse;Commerce And Shopping;prelabel_accorde;pdf-session;
08/2023;Drop'n Go;Consumer Products And Services;prelabel_accorde;pdf-session;
08/2023;HygieSys;Environment;prelabel_accorde;pdf-session;
08/2023;FIDELIUM;Consumer Products And Services;prelabel_accorde;pdf-session;
08/2023;WOLO;Ad Tech And Creative Tech;label_refuse;pdf-session;
08/2023;Elodox;Healthtech;label_refuse;pdf-session;
08/2023;Restojob;Business Software And Services;prelabel_refuse;pdf-session;
08/2023;Yolyc;Real Estate Tech;prelabel_refuse;pdf-session;
08/2023;GMT International;Services;prelabel_refuse;pdf-session;
08/2023;EagleEye;Business Software And Services;prelabel_refuse;pdf-session;
08/2023;BTG : Bridging The Gap;Ad Tech And Creative Tech;label_refuse;pdf-session;
08/2023;ZMEN dash sports;Ad Tech And Creative Tech;label_refuse;pdf-session;
08/2023;Tutwide;Edtech;prelabel_refuse;pdf-session;
08/2023;Modhif;Real Estate Tech;prelabel_refuse;pdf-session;
08/2023;TIE-UP;Consumer Products And Services;prelabel_refuse;pdf-session;
08/2023;nextview;Real Estate Tech;prelabel_refuse;pdf-session;
08/2023;AlloFermli;Healthtech;prelabel_refuse;pdf-session;
08/2023;ste vetalyst tech solution Beitary;Healthtech;label_accorde;pdf-session;
08/2023;Be Synchro NetConf;;label_accorde;pdf-session;
08/2023;Ziwziw Family Friend;Edtech;label_accorde;pdf-session;
08/2023;MK Talent Digify;Edtech;label_accorde;pdf-session;
08/2023;Grün Skincare;Wellness;label_accorde;pdf-session;
08/2023;Lean Manufacturing Company LeanTex;;label_accorde;pdf-session;
08/2023;Gifty Gifty;;label_accorde;pdf-session;
08/2024;SHIPPER;Commerce And Shopping;label_accorde;pdf-session;
08/2024;Arcana Soft;Advanced Manufacturing;label_accorde;pdf-session;
08/2024;Smart Gros;Business Software And Services;label_accorde;pdf-session;
08/2024;NextGen Coding;Edtech;label_accorde;pdf-session;
08/2024;EmyeHR;Business Software And Services;label_accorde;pdf-session;
08/2024;Optypro.net Production d’additifs alimentaires animale et consulting;Business Software And Services;prelabel_accorde;pdf-session;
08/2024;Buzzbip;Business Software And Services;prelabel_accorde;pdf-session;
08/2024;Kidcare;;prelabel_accorde;pdf-session;
08/2024;Alexis;Edtech;prelabel_accorde;pdf-session;
08/2024;SYNAPSE-HR;Business Software And Services;prelabel_accorde;pdf-session;
08/2024;Cluebox Tunisia;Business Software And Services;label_refuse;pdf-session;
08/2024;Quokka Agency;Business Software And Services;label_refuse;pdf-session;fondateurs_ambigus
08/2024;SOCIETE VAERDIA SOLUTIONS;Business Software And Services;label_refuse;pdf-session;
08/2024;DOCTUNITY;Healthtech;label_refuse;pdf-session;
08/2024;FairConnect MEA;Business Software And Services;label_refuse;pdf-session;
08/2024;AsOne4Health;Healthtech;inconnu;pdf-session;"resultat_manquant;decision_inconnue"
08/2024;Logidoo;Business Software And Services;label_refuse;pdf-session;
08/2024;Flexy stores Plateforme Mobile dédiée à la vente et à l'achat d'articles d'occasion pour enfants;Commerce And Shopping;label_refuse;pdf-session;
08/2024;PINE NEEDLES SOLUTION Tim'ess;Environment;label_accorde;pdf-session;
08/2024;Owlinks Technologies Co Owlinks;;label_accorde;pdf-session;
08/2024;DRIVOXE;;label_accorde;pdf-session;fondateurs_ambigus
08/2024;SPR 01 Labs Spr 01;Wellness;label_accorde;pdf-session;
08/2024;NANOSOFT;;label_accorde;pdf-session;fondateurs_ambigus
08/2025;Karhabti.app;Business Software and services;label_accorde;compte-rendu-manuel;
08/2025;Dawwerni;Business Software and services;label_accorde;compte-rendu-manuel;
08/2025;Deepic;HealthTech;label_accorde;compte-rendu-manuel;
08/2025;WELLNESS HUB;Wellness;label_accorde;compte-rendu-manuel;
08/2025;Doxaria;Business Software and services;label_accorde;compte-rendu-manuel;
08/2025;Sté Green Nonwoven Visline;Environment;label_accorde;compte-rendu-manuel;
08/2025;Tak Tak;Mobility;prelabel_accorde;compte-rendu-manuel;
08/2025;Talifouni+;Business Software and services;prelabel_accorde;compte-rendu-manuel;
08/2025;Rhizome;HealthTech;prelabel_accorde;compte-rendu-manuel;
08/2025;Hanoutik;Business Software and services;prelabel_accorde;compte-rendu-manuel;
08/2025;Erpy;Business Software and services;prelabel_accorde;compte-rendu-manuel;
08/2025;Play and Code;EdTech;prelabel_accorde;compte-rendu-manuel;
08/2025;OraNext AI;Advanced Manufacturing & Robotics;prelabel_accorde;compte-rendu-manuel;
08/2025;Park & Charge;Mobility;prelabel_accorde;compte-rendu-manuel;
08/2025;Fast Help;HealthTech;prelabel_accorde;compte-rendu-manuel;
08/2025;CLUBI;Consumer products and services;label_refuse;compte-rendu-manuel;
08/2025;Ordering Dashboard Solution (ODS);FoodTech & New Food;label_refuse;compte-rendu-manuel;
08/2025;MData One;Business Software and services;label_refuse;compte-rendu-manuel;
08/2025;DoWell;HealthTech;label_refuse;compte-rendu-manuel;
08/2025;Te Quaero;Business Software and services;label_refuse;compte-rendu-manuel;
08/2025;Exposia;EdTech;label_refuse;compte-rendu-manuel;
08/2025;Habitiz;Real Estate Tech;label_refuse;compte-rendu-manuel;
08/2025;Kharajni.tn;TravelTech;label_refuse;compte-rendu-manuel;
08/2025;Farbi.tn;Advanced Manufacturing & Robotics;prelabel_refuse;compte-rendu-manuel;
08/2025;Badel;Social Business;prelabel_refuse;compte-rendu-manuel;
08/2025;TRUSTMOVE TUNISIA;Consumer products and services;label_refuse;compte-rendu-manuel;
08/2025;SANEOB;HealthTech;label_refuse;compte-rendu-manuel;
08/2025;KSIBA;Consumer products and services;prelabel_refuse;compte-rendu-manuel;
08/2025;Terrametrics;Environment;prelabel_refuse;compte-rendu-manuel;
08/2025;Booklyne;Business Software and services;prelabel_refuse;compte-rendu-manuel;
08/2025;CashFloow;Business Software and services;prelabel_refuse;compte-rendu-manuel;
08/2025;VERDOLIVE;Agritech;prelabel_refuse;compte-rendu-manuel;
08/2025;LexIA;Business Software and services;prelabel_refuse;compte-rendu-manuel;
08/2025;compta-smart;Fintech;prelabel_refuse;compte-rendu-manuel;
08/2025;ICHFINI;HealthTech;prelabel_refuse;compte-rendu-manuel;
08/2025;Rendez-vous;Consumer products and services;prelabel_refuse;compte-rendu-manuel;
08/2025;BioH2O;FoodTech & New Food;prelabel_refuse;compte-rendu-manuel;
08/2025;AZRO EVENTS;TravelTech;irrecevable;compte-rendu-manuel;
08/2025;Stocky;Business Software and services;irrecevable;compte-rendu-manuel;
08/2025;Technozor;Business Software and services;irrecevable;compte-rendu-manuel;
08/2025;Recolab technologies;EdTech;irrecevable;compte-rendu-manuel;
09/2019;iWassel;;label_accorde;pdf-session;
09/2019;Farm Trust;E-Commerce;label_accorde;pdf-session;fondateurs_absents
09/2019;TrustiT;E-Commerce;label_accorde;pdf-session;
09/2019;fixiha.tn;E-Commerce;label_accorde;pdf-session;
09/2019;Société DOM Services;Services;label_accorde;pdf-session;societe_non_identifiee
09/2019;The Landlord;E-Commerce;label_accorde;pdf-session;
09/2019;BeNeutron;Edtech;label_accorde;pdf-session;
09/2019;Epilert;;label_accorde;pdf-session;fondateurs_ambigus
09/2019;Black Dune Studio;Edtech;label_accorde;pdf-session;fondateurs_ambigus
09/2019;Idara Tn;;label_accorde;pdf-session;
09/2019;Teskerti.tn;E-Commerce;label_accorde;pdf-session;
09/2019;GETPAY;Fintech;label_accorde;pdf-session;
09/2019;Kamioun;;prelabel_accorde;pdf-session;
09/2019;Tuni'AR;;prelabel_accorde;pdf-session;
09/2019;Athena-IO;;prelabel_accorde;pdf-session;
09/2019;ﻰَﻔﻟُز ZOLFA;;prelabel_accorde;pdf-session;
09/2019;GoFields;;prelabel_accorde;pdf-session;
09/2019;Kyto-Prod;Biotech;prelabel_accorde;pdf-session;
09/2019;SBA Workforce;Fintech;label_refuse;pdf-session;
09/2019;Think-it;;label_refuse;pdf-session;
09/2019;Servis.tn;E-Commerce;prelabel_refuse;pdf-session;fondateurs_absents
09/2019;HOOLOOS;;prelabel_refuse;pdf-session;
09/2019;Go Field;;label_accorde;pdf-session;
09/2019;Wantotrip;E-Commerce;label_accorde;pdf-session;
09/2019;Technologia Academy;Edtech;label_accorde;pdf-session;
09/2020;WeMove;;inconnu;pdf-session;decision_inconnue
09/2020;HackUp;;inconnu;pdf-session;"fondateurs_absents;decision_inconnue"
09/2020;wammya;;inconnu;pdf-session;decision_inconnue
09/2020;Orthlane;;inconnu;pdf-session;decision_inconnue
09/2020;ETNAFES;;inconnu;pdf-session;decision_inconnue
09/2020;Idaraty.tn;;inconnu;pdf-session;decision_inconnue
09/2020;Healthy & Bnin;E-Commerce;inconnu;pdf-session;decision_inconnue
09/2020;Services voitures épaves (SVE);E-Commerce;inconnu;pdf-session;"decision_inconnue;societe_non_identifiee"
09/2020;Autorent;;inconnu;pdf-session;decision_inconnue
09/2020;Cubed;;inconnu;pdf-session;decision_inconnue
09/2020;Smelsy.com;Edtech;inconnu;pdf-session;"decision_inconnue;fondateurs_ambigus"
09/2020;iCan-C;Iot;inconnu;pdf-session;decision_inconnue
09/2020;MTTN;;inconnu;pdf-session;decision_inconnue
09/2020;Bladiz king Chemicals Solutions;;inconnu;pdf-session;decision_inconnue
09/2020;souhir Zaoui;Services;inconnu;pdf-session;"decision_inconnue;fondateurs_ambigus;societe_reconstruite"
09/2020;Doctourna;;inconnu;pdf-session;decision_inconnue
09/2020;Aladdin;Telecom;inconnu;pdf-session;decision_inconnue
09/2020;Portail de technologies industrielles et innovations;;inconnu;pdf-session;decision_inconnue
09/2020;New Life;E-Commerce;inconnu;pdf-session;decision_inconnue
09/2020;Sampapp;;inconnu;pdf-session;decision_inconnue
09/2020;SAFEOPS;;inconnu;pdf-session;decision_inconnue
09/2020;Dinaro;Fintech;inconnu;pdf-session;decision_inconnue
09/2020;Farmvie;Agritech;inconnu;pdf-session;decision_inconnue
09/2020;Mass SA;;retrait;pdf-session;
09/2020;Catrim;Fintech;retrait;pdf-session;
09/2020;Jhimi Pour Les Elévateurs Légers;Agritech;retrait;pdf-session;
09/2020;TechAccessibility;;retrait;pdf-session;
09/2020;Tira Robots;;retrait;pdf-session;
09/2021;TADREEX;Edtech;label_accorde;pdf-session;
09/2021;Urban Green;Agritech;label_accorde;pdf-session;
09/2021;Unify;;prelabel_accorde;pdf-session;
09/2021;Smartfleet;Business;prelabel_accorde;pdf-session;
09/2021;CUIDA;;prelabel_accorde;pdf-session;
09/2021;CAIRUS DIGITAL BUSINESS CENTER;Fintech;prelabel_accorde;pdf-session;societe_non_identifiee
09/2021;GARK;;prelabel_accorde;pdf-session;
09/2021;Pivlo;Business;prelabel_accorde;pdf-session;
09/2021;D-SIGNALITIQUE;Services;label_refuse;pdf-session;
09/2021;DIGITAL DRINA;Services;label_refuse;pdf-session;
09/2021;Jibheli;Mobility;label_refuse;pdf-session;
09/2021;Meducol;Edtech;prelabel_refuse;pdf-session;
09/2021;Delivery;;prelabel_refuse;pdf-session;
09/2021;Promo alert;Services;prelabel_refuse;pdf-session;
09/2021;Mosta9bli;Services;prelabel_refuse;pdf-session;
09/2021;NETOX;Edtech;prelabel_refuse;pdf-session;
09/2021;Baazar;Business;prelabel_refuse;pdf-session;fondateurs_ambigus
09/2021;STAGGY;;prelabel_refuse;pdf-session;
09/2021;YARAKA PROTEIN;Foodtech;prelabel_refuse;pdf-session;
09/2021;Mediterranean Advanced Marine;;prelabel_refuse;pdf-session;
09/2021;Engineering La Beylicale;Foodtech;prelabel_refuse;pdf-session;
09/2021;SOSADRESSE.COM;Services;prelabel_refuse;pdf-session;
09/2021;iziclaim;Fintech;prelabel_refuse;pdf-session;
09/2021;Provectus Technology;Advanced Manufacturing;label_accorde;pdf-session;
09/2021;DIGITIN;;label_accorde;pdf-session;fondateurs_ambigus
09/2021;STE PERSAVIA;Mobility;label_accorde;pdf-session;fondateurs_ambigus
09/2021;EdTrust;Edtech;label_accorde;pdf-session;
09/2021;REDUP;;label_accorde;pdf-session;fondateurs_ambigus
09/2021;STE Vizmerald;;label_accorde;pdf-session;
09/2021;Cooptatio;Business;label_accorde;pdf-session;fondateurs_ambigus
09/2021;INVESTHUNE PLUS;Fintech;label_accorde;pdf-session;fondateurs_ambigus
09/2021;Analytix YS;Fintech;label_accorde;pdf-session;fondateurs_ambigus
09/2021;FIVE DELIVERY;Foodtech;label_accorde;pdf-session;
09/2021;WELINCO;Services;label_accorde;pdf-session;
09/2021;RIBLUM;;label_accorde;pdf-session;fondateurs_ambigus
09/2021;DIMAZINA;Social Business;inconnu;pdf-session;"resultat_manquant;decision_inconnue;fondateurs_ambigus"
09/2022;AROTEQ;Consumer;label_accorde;pdf-session;
09/2022;Super Senses;Business;label_accorde;pdf-session;
09/2022;Teligencia.io;;label_accorde;pdf-session;
09/2022;Pedalo;Business;label_accorde;pdf-session;
09/2022;DSAP (Data System Analysis Platform);Ad Tech And Creative Tech;label_accorde;pdf-session;
09/2022;Lissene- نﺎﺳﻟ;Edtech;label_accorde;pdf-session;
09/2022;QUANTA TN;Business;label_accorde;pdf-session;fondateurs_ambigus
09/2022;Screenflex;Ad Tech And Creative Tech;label_accorde;pdf-session;
09/2022;aivataria;Ad Tech And Creative Tech;label_accorde;pdf-session;
09/2022;El Fallega;Traveltech;label_accorde;pdf-session;
09/2022;dyno;Fintech;prelabel_accorde;pdf-session;
09/2022;Storycraft;Ad Tech And Creative Tech;prelabel_accorde;pdf-session;
09/2022;Oceanus;Environment;prelabel_accorde;pdf-session;
09/2022;Kayotica;Ad Tech And Creative Tech;prelabel_accorde;pdf-session;
09/2022;Bitaqa.tn;Business Software And Services;prelabel_accorde;pdf-session;
09/2022;CHLORIS Flowers;Consumer Products And Services;label_refuse;pdf-session;
09/2022;Sefer;Mobility;label_refuse;pdf-session;
09/2022;AZRO EVENTS;Traveltech;label_refuse;pdf-session;
09/2022;DABy Go;Fintech;label_refuse;pdf-session;
09/2022;DATUM karhebti / sociéte :CHIRON;Ad Tech And Creative Tech;label_refuse;pdf-session;
09/2022;ABBK Physicsworks;Ad Tech And Creative Tech;label_refuse;pdf-session;
09/2022;Viore digital;Business Software And Services;label_refuse;pdf-session;
09/2022;Sellkit;Commerce And Shopping;label_refuse;pdf-session;
09/2022;Home Decor AR;Consumer Products And Services;prelabel_refuse;pdf-session;
09/2022;Noir Ou Blanc;Ad Tech And Creative Tech;prelabel_refuse;pdf-session;
09/2022;Opus;Business Software And Services;prelabel_refuse;pdf-session;
09/2022;PINUS;Agritech;prelabel_refuse;pdf-session;
09/2022;HealthyGO;Foodtech;prelabel_refuse;pdf-session;
09/2022;Digital work solutions;Business;label_accorde;pdf-session;fondateurs_ambigus
09/2022;VAL BIO DECHETS COMPOSITE;Environment;label_accorde;pdf-session;fondateurs_ambigus
09/2022;STE Vivia Clinical Network;Healthtech;label_accorde;pdf-session;fondateurs_ambigus
09/2022;Offensylab moovin 360;;label_accorde;pdf-session;fondateurs_ambigus
09/2022;HUBS TRAVEL;Traveltech;label_accorde;pdf-session;fondateurs_ambigus
09/2022;CARGOWEEN;Business;label_accorde;pdf-session;
09/2022;Mini Jobi;Business;label_accorde;pdf-session;
09/2022;Womia;;label_accorde;pdf-session;
09/2023;Wemake3D;Advanced Manufacturing;label_accorde;pdf-session;
09/2023;Dopawin MAKTOUB TECHNOLOGIES ET SERVICES Dactylos Service;Services;label_accorde;pdf-session;societe_non_identifiee
09/2023;d-talk;Ad Tech And Creative Tech;label_accorde;pdf-session;
09/2023;HAT Information Security Corporate;;label_accorde;pdf-session;
09/2023;Inspark;Edtech;label_accorde;pdf-session;
09/2023;Abajim.com;Edtech;prelabel_accorde;pdf-session;
09/2023;ProteiNew;Agritech;prelabel_accorde;pdf-session;
09/2023;Line Analyzer;Ad Tech And Creative Tech;prelabel_accorde;pdf-session;
09/2023;Studenty;;prelabel_accorde;pdf-session;secteur_absent
09/2023;Digi-QAL;Business Software And Services;prelabel_accorde;pdf-session;
09/2023;Virtu-Lab;Edtech;prelabel_accorde;pdf-session;
09/2023;Neural Genie;Ad Tech And Creative Tech;label_refuse;pdf-session;
09/2023;Elsabuy;Consumer Products And Services;label_refuse;pdf-session;
09/2023;Docnet;Healthtech;label_refuse;pdf-session;
09/2023;investy;Services;label_refuse;pdf-session;
09/2023;IDOS DIGITAL Car Supervision;Business Software And Services;label_refuse;pdf-session;
09/2023;MyAuto;Commerce And Shopping;prelabel_refuse;pdf-session;
09/2023;SuperFactorial Growth Starter : Plateforme de marketing digital et SEO;Business Software And Services;prelabel_refuse;pdf-session;
09/2023;Ambition Study;;label_accorde;pdf-session;
09/2023;MiGsens;Environment;label_accorde;pdf-session;fondateurs_ambigus
09/2023;Cell Pulse Harmony;Healthtech;label_accorde;pdf-session;fondateurs_ambigus
09/2023;SPINSHARE;Wellness;label_accorde;pdf-session;
09/2023;Sellya Technologies;;label_accorde;pdf-session;fondateurs_ambigus
09/2023;Venus Zora Pharm HygieSys Solutions for better tomorrow;Healthtech;label_accorde;pdf-session;fondateurs_ambigus
09/2023;Tunealgo;;label_accorde;pdf-session;
09/2023;Société;;inconnu;pdf-session;"societe_parasite;decision_inconnue;societe_non_identifiee"
09/2023;Qartaj;Consumer Products & Services;inconnu;pdf-session;"secteur_absent;decision_inconnue"
09/2024;QUOPROD;;label_accorde;pdf-session;
09/2024;Converty;Commerce And Shopping;label_accorde;pdf-session;
09/2024;EDUCATE ME;Edtech;label_accorde;pdf-session;
09/2024;ALDER Green Solutions;Environment;label_accorde;pdf-session;
09/2024;Hannibal VR;Edtech;label_accorde;pdf-session;
09/2024;Gifted;Commerce And Shopping;label_accorde;pdf-session;fondateurs_ambigus
09/2024;Walid KALLEL;Edtech;prelabel_accorde;pdf-session;"fondateurs_ambigus;societe_reconstruite"
09/2024;Krypton;Business Software And Services;prelabel_accorde;pdf-session;
09/2024;Order Station;Foodtech;prelabel_accorde;pdf-session;
09/2024;CWcloud;Business Software And Services;prelabel_accorde;pdf-session;fondateurs_ambigus
09/2024;Mintounes;Commerce And Shopping;prelabel_accorde;pdf-session;
09/2024;VYZYOSCHOOL;Edtech;prelabel_accorde;pdf-session;
09/2024;TerraSens;Agritech;prelabel_accorde;pdf-session;
09/2024;Syndiki;Real Estate Tech;prelabel_accorde;pdf-session;
09/2024;Moonlight AI TN;Healthtech;prelabel_accorde;pdf-session;
09/2024;Rebelink;Edtech;label_refuse;pdf-session;
09/2024;K-Noon;Fintech;label_refuse;pdf-session;
09/2024;STE ZURVANET;Agritech;label_refuse;pdf-session;
09/2024;InnovAir;Healthtech;label_refuse;pdf-session;
09/2024;Park&Charge by Asteroidea;Mobility;label_refuse;pdf-session;
09/2024;Astratransit CLICK TRANS;;label_accorde;pdf-session;
09/2024;Aventoura Aventoura Outdoors;Traveltech;label_accorde;pdf-session;
09/2024;AGARUW HUB AGARUW HUB;Environment;label_accorde;pdf-session;
09/2024;ITri Smart & Sustainable Collect;Environment;label_accorde;pdf-session;
09/2024;Hapivot Hapivot;;label_accorde;pdf-session;
09/2025;PSYNARIOS;EdTech;label_accorde;compte-rendu-manuel;
09/2025;Ligalo;Business Software and services;prelabel_accorde;compte-rendu-manuel;
09/2025;Flashbac;EdTech;prelabel_accorde;compte-rendu-manuel;
09/2025;The pointing graphical tablet;Advanced Manufacturing & Robotics;prelabel_accorde;compte-rendu-manuel;
09/2025;Trip Hive;TravelTech;prelabel_accorde;compte-rendu-manuel;
09/2025;ProgressBox;Agritech;prelabel_accorde;compte-rendu-manuel;
09/2025;El Qemma;Business Software and services;prelabel_accorde;compte-rendu-manuel;
09/2025;Gotei;Ad Tech and Creative Tech;prelabel_accorde;compte-rendu-manuel;
09/2025;LYAMAMATAYN الیمامتین;EdTech;prelabel_accorde;compte-rendu-manuel;
09/2025;DIA industries;Advanced Manufacturing & Robotics;prelabel_accorde;compte-rendu-manuel;
09/2025;VIBE FLOW AI;Ad Tech and Creative Tech;prelabel_accorde;compte-rendu-manuel;
09/2025;BxB Studio;Ad Tech and Creative Tech;label_refuse;compte-rendu-manuel;
09/2025;Boon;Real Estate Tech;label_refuse;compte-rendu-manuel;
09/2025;Millisave;Business Software and services;label_refuse;compte-rendu-manuel;
09/2025;تونس عقارات: Akarat.tn;Commerce and shopping;prelabel_refuse;compte-rendu-manuel;
09/2025;OptiPlanex;Business Software and services;prelabel_refuse;compte-rendu-manuel;
09/2025;URBANAV;Mobility;prelabel_refuse;compte-rendu-manuel;
09/2025;Darraja;Mobility;prelabel_refuse;compte-rendu-manuel;
09/2025;عمل 3MAL;Consumer products and services;prelabel_refuse;compte-rendu-manuel;
09/2025;TeraaVerra;Agritech;prelabel_refuse;compte-rendu-manuel;
09/2025;MedicusAI;HealthTech;prelabel_refuse;compte-rendu-manuel;
09/2025;Eco block;Environment;prelabel_refuse;compte-rendu-manuel;
09/2025;Quinexa;Commerce and shopping;prelabel_refuse;compte-rendu-manuel;
09/2025;Tajjer;Business Software and services;prelabel_refuse;compte-rendu-manuel;
09/2025;Cloud Commit Software Solutions;Security;irrecevable;compte-rendu-manuel;
10/2019;Fivepoints;Edtech;label_accorde;pdf-session;
10/2019;Datavision;;label_accorde;pdf-session;fondateurs_absents
10/2019;RESRV;;label_accorde;pdf-session;
10/2019;NEPTUNE MOSAIC;;label_accorde;pdf-session;
10/2019;Taderok;Edtech;label_accorde;pdf-session;fondateurs_absents
10/2019;Intigrow;;label_accorde;pdf-session;fondateurs_absents
10/2019;Artify;;label_accorde;pdf-session;
10/2019;TIRA ROBOTS;;label_accorde;pdf-session;fondateurs_absents
10/2019;HISTORIAR;;label_accorde;pdf-session;fondateurs_absents
